1 66	0.0007577192650123129 0.015625
1 66 1 66	0.0005202464274875818 0.015625
1 66 6 71	0.00028870977747872854 0.01171875
1 66 18 85	0.00022904663741917297 0.05078125
1 66 20 85	0.0004229897497767316 0.0390625
1 66 23	0.005376344086021506 0.00390625
1 66 44	0.0028011204481792717 0.00390625
1 66 45 110	3.99002493765586e-05 0.0078125
1 66 46 111	0.00014377139264366907 0.140625
1 66 50	0.22289156626506024 0.125
1 66 51 116	8.0016876286635e-05 0.0078125
1 66 115	0.2485207100591716 0.14453125
6 71	0.0008452192287374538 0.0546875
6 71 1 66	0.0004139670471264473 0.015625
6 71 2	0.0014925373134328358 0.0078125
6 71 6 71	0.0007678564419994261 0.0546875
6 71 10 75	0.00029631728209116167 0.0390625
6 71 12 77	0.0001738727251651791 0.00390625
6 71 23	0.0040595399188092015 0.0078125
6 71 28 77	0.00013008976193573565 0.00390625
6 71 35 100	1.4435763410341122e-05 0.0234375
6 71 37 102	0.0008050554016620498 0.01171875
6 71 41 106	0.00023802112061981973 0.02734375
6 71 45 98	0.2 0.0078125
6 71 46 111	0.00016711526274910157 0.16015625
6 71 50	0.11750599520383694 0.1328125
6 71 51 116	4.659398005777654e-05 0.01953125
6 71 67 2	0.00026914278024491994 0.02734375
6 71 88	0.002840909090909091 0.00390625
6 71 109	0.006493506493506494 0.0078125
6 71 109 115	0.05747126436781609 0.0078125
6 71 115	0.17479674796747968 0.16796875
6 71 115 50	0.037552155771905425 0.05078125
6 87 23	0.3333333333333333 0.00390625
6 87 46 111	0.00010113419019771734 0.0078125
6 87 50	0.6 0.0078125
6 87 115	0.6666666666666666 0.01171875
8 6 71	0.0005165289256198347 0.00390625
8 8 50	0.9411764705882353 0.05859375
8 8 115	1.0 0.0625
8 12 77	0.05555555555555555 0.00390625
8 12 77 50	0.5 0.00390625
8 20 85	0.0003707136237256719 0.0078125
8 46 111	0.0002442043569425614 0.0546875
8 46 111 115	0.011464968152866241 0.05859375
8 73 8 115	0.75 0.00390625
8 73 12 77	0.040229885057471264 0.00390625
8 73 50	0.95 0.0625
8 73 115	1.0 0.0703125
8 123 46 111	0.00013643185228978127 0.01953125
10 6 71 50	0.023255813953488372 0.00390625
10 6 71 115	0.05357142857142857 0.01171875
10 32 75 50	0.09803921568627451 0.015625
10 75	0.0021085925144965737 0.015625
10 75 6 71	0.00035191138594690285 0.0390625
10 75 12 77	0.0024834437086092716 0.00390625
10 75 23	0.036585365853658534 0.01171875
10 75 24 89	0.0002502815667626079 0.01171875
10 75 41 106	0.00014856432835417735 0.01953125
10 75 46 111	0.00011915954382184609 0.09375
10 75 50	0.48 0.078125
10 75 88	0.02564102564102564 0.0078125
10 75 88 23	0.024691358024691357 0.0078125
10 75 115	0.5647058823529412 0.10546875
12 15 100	0.0010460251046025104 0.00390625
12 30 85	0.0002600780234070221 0.00390625
12 30 85 50	0.21052631578947367 0.0234375
12 30 86 2	0.00672834314550042 0.00390625
12 77	0.0058823529411764705 0.0078125
12 77 8	0.03571428571428571 0.00390625
12 77 8 8	0.0625 0.00390625
12 77 8 73	0.08139534883720931 0.00390625
12 77 10 75	0.0014767413241447206 0.00390625
12 77 12 77	0.0006086890359887393 0.0078125
12 77 23	0.09375 0.01171875
12 77 46 111	0.00011756528386161208 0.09765625
12 77 50	0.675 0.08203125
12 77 50 50	0.058823529411764705 0.0078125
12 77 50 115	0.05263157894736842 0.0078125
12 77 73	0.05 0.00390625
12 77 73 8	0.07142857142857142 0.00390625
12 77 88	0.10344827586206896 0.01171875
12 77 115	0.7674418604651163 0.1015625
12 77 115 115	0.05660377358490566 0.0078125
12 85 50	0.5 0.00390625
12 85 115	0.5 0.00390625
12 99 83 85	6.253517603652055e-05 0.0078125
12 99 85	0.0002874389192296637 0.0078125
12 104 1 66	0.0005993766482857828 0.0078125
12 104 20 85	0.0006730545130592179 0.01953125
12 104 24 89	0.00043752953324349394 0.01953125
12 104 35 100	0.00015289883448616222 0.0078125
12 104 46 111	4.411565432146682e-05 0.06640625
12 105 20 85	0.0004883550260096268 0.015625
12 105 23	0.030303030303030304 0.0078125
12 105 35 100	0.00023293897174082474 0.0078125
12 105 46 111	9.163142101248067e-05 0.0625
12 105 50	0.17857142857142858 0.01953125
12 105 88	0.03076923076923077 0.0078125
12 105 115	0.23333333333333334 0.02734375
12 117 81	0.007194244604316547 0.00390625
12 126 2	0.0019455252918287938 0.00390625
16 30 85	0.0006447453255963894 0.0078125
16 52 77	0.0030864197530864196 0.00390625
16 52 117 81	0.004098360655737705 0.0078125
16 52 126 2	0.002510460251046025 0.01171875
16 52 126 4	0.008620689655172414 0.00390625
16 81 20 85	0.0004397164547357893 0.0546875
16 81 23	0.05454545454545454 0.03125
16 81 24 89	0.00016969011353076642 0.03125
16 81 35 100	0.00013628561447955753 0.03125
16 81 40 105	1.2224789428002103e-05 0.00390625
16 81 46 111	8.923044652731108e-05 0.2890625
16 81 50	0.65625 0.25390625
16 81 57 122	0.0002624327516074006 0.00390625
16 81 67 2	0.0013122402857767734 0.05859375
16 81 67 4	0.0051635111876075735 0.00390625
16 81 69 2	0.004859086491739553 0.0078125
16 81 88	0.06382978723404255 0.03125
16 81 115	0.7428571428571429 0.3203125
16 108 20 85	0.0004701480966504449 0.02734375
16 108 35 100	0.00010561137434501696 0.01953125
16 108 43 108	0.00010543240464956905 0.00390625
16 108 46 111	1.9874004655777855e-05 0.078125
16 108 50	0.3333333333333333 0.00390625
16 108 115	0.3333333333333333 0.00390625
20 3 68 85	0.0003189792663476874 0.078125
20 15 80 85	0.0001646507504274587 0.04296875
20 15 100	0.00016791107429505334 0.0546875
20 15 100 50	0.05725190839694656 0.09765625
20 18 15 100	2.3386262339105367e-05 0.07421875
20 18 18 85	8.128184907276885e-05 0.1796875
20 18 18 108	0.0045156292779742245 0.00390625
20 18 27 85	9.531241622932168e-05 0.1640625
20 18 83 85	7.888254235711967e-05 0.1796875
20 18 83 108	0.004304856623924553 0.00390625
20 18 85	5.498846158781016e-05 0.09375
20 18 85 23	0.00021224663058473945 0.00390625
20 18 85 58	0.00012033694344163658 0.00390625
20 18 85 115	0.0053550178500595 0.05078125
20 18 86 4	0.0003904724716907458 0.01171875
20 18 92 85	9.373524925207083e-05 0.1640625
20 18 92 108	0.0021008403361344537 0.00390625
20 18 95 105	4.9849344204182914e-05 0.02734375
20 18 108	0.004132231404958678 0.00390625
20 27 15 100	3.9117656130225684e-05 0.0625
20 27 18 85	0.00012166157715735559 0.1640625
20 27 18 108	0.007285974499089253 0.00390625
20 27 27 85	0.00024731456814456714 0.16015625
20 27 83 85	0.00012114680553299035 0.1640625
20 27 83 108	0.0073059360730593605 0.00390625
20 27 85	0.00013831449950898352 0.0625
20 27 85 50	0.006658595641646489 0.03125
20 27 92 85	0.00024323525339500283 0.16015625
20 30 85	0.0004361098996947231 0.00390625
20 30 117 85	0.0023148148148148147 0.00390625
20 34 77	0.0010873504893077202 0.0078125
20 34 77 115	0.04424778761061947 0.015625
20 34 99 85	0.00028257494184905145 0.12890625
20 34 104	0.00010187449062754686 0.0078125
20 34 105	0.00014798737174427783 0.01171875
20 45 110 85	0.00011892503808611979 0.1796875
20 45 110 108	0.004685669660288949 0.00390625
20 66 1 85	0.00028620901844617124 0.078125
20 66 20 85	0.00029925784055542256 0.078125
20 77 12 85	0.0003040324632213791 0.125
20 77 20 85	0.0002799591259676087 0.125
20 77 35 100	2.6160205096007953e-05 0.046875
20 77 40 105	0.00013324450366422385 0.00390625
20 77 46 111	2.8361217342366504e-05 0.109375
20 77 50	0.03225806451612903 0.00390625
20 77 51 116	7.639886318491581e-05 0.01953125
20 77 115	0.5 0.00390625
20 83 15 100	2.3339614156329876e-05 0.07421875
20 83 18 85	9.470995977104246e-05 0.1796875
20 83 18 108	0.006670676594339167 0.00390625
20 83 27 85	0.0001061888758684301 0.1640625
20 83 83 85	8.508476270860642e-05 0.1796875
20 83 83 108	0.006995927149939752 0.00390625
20 83 85	5.4770211577327326e-05 0.09375
20 83 85 50	0.00646931974122721 0.05078125
20 83 85 115	0.006533359730746387 0.05078125
20 83 86 2	0.0007998669528236888 0.09375
20 83 92 85	0.00010541690785788306 0.1640625
20 83 108	0.004132231404958678 0.00390625
20 85	0.0003457328997266549 0.125
20 85 1 66	0.002557743386887164 0.0390625
20 85 1 85	0.00029611204879926564 0.078125
20 85 6 71	4.096596443634084e-05 0.02734375
20 85 8	0.0006816632583503749 0.0078125
20 85 8 123	0.00597460791635549 0.00390625
20 85 12 85	0.00027888168444537405 0.125
20 85 12 104	2.3646363898623308e-05 0.0078125
20 85 16 81	7.719475277497477e-05 0.0546875
20 85 20 85	0.00030903910050721545 0.1875
20 85 22 87	0.0012840328141719177 0.0234375
20 85 23	0.0036458333333333334 0.02734375
20 85 24 89	0.00013659434355634158 0.03125
20 85 35 100	0.00012107790928927339 0.09375
20 85 36 101	3.249542085361138e-05 0.046875
20 85 39 77	0.002377636367833427 0.01953125
20 85 39 85	0.0002125456428143223 0.12109375
20 85 39 104	6.769716800180526e-05 0.015625
20 85 39 105	0.000154075407827786 0.06640625
20 85 40 85	0.00029811682684449507 0.09375
20 85 40 104	5.629669336476157e-05 0.0078125
20 85 40 105	0.00015948282189839276 0.05859375
20 85 41 106	6.348295975070899e-05 0.0078125
20 85 43 81	0.00025807292869309154 0.03125
20 85 43 108	0.00031567514352518177 0.015625
20 85 44	0.000942507068803016 0.01171875
20 85 44 44	0.0004641089108910891 0.01171875
20 85 44 58	0.010101010101010102 0.00390625
20 85 46 111	3.9006114560438276e-05 0.3125
20 85 49 114	5.636440392342263e-05 0.00390625
20 85 50	0.06921086675291074 0.30859375
20 85 50 50	0.058855291576673865 0.140625
20 85 50 115	0.05768249106687085 0.14453125
20 85 51 116	0.00015457464758068907 0.0390625
20 85 57 104	0.00032387352738755514 0.01171875
20 85 57 105	0.0002841413603267626 0.01171875
20 85 57 122	0.0005603892301229309 0.0234375
20 85 58 123	0.0041258380608561115 0.0234375
20 85 67 2	0.0020792902689215414 0.07421875
20 85 67 4	0.0011486331265793705 0.0078125
20 85 73	0.0008123476848090983 0.0078125
20 85 73 50	0.03 0.01171875
20 85 88	0.0034883720930232558 0.0234375
20 85 88 23	0.0028457598178713715 0.01953125
20 85 109	0.0005836008170411438 0.00390625
20 85 115	0.07849829351535836 0.328125
20 85 115 50	0.058669460450497646 0.140625
20 85 115 115	0.060053619302949064 0.140625
20 85 123	0.0016216216216216215 0.01171875
20 85 123 23	0.029411764705882353 0.00390625
20 85 123 88	0.05128205128205128 0.00390625
20 85 123 115	0.04265402843601896 0.0234375
20 86 2	0.001847440322815888 0.078125
20 86 2 115	0.030692845858722635 0.078125
20 86 4 115	0.046511627906976744 0.0078125
20 86 21 85	0.00029952005492071024 0.1640625
20 86 21 108	0.009375 0.00390625
20 86 30 85	0.00029824476345370377 0.11328125
20 86 61 85	0.00029226986719278845 0.14453125
20 86 61 104	3.4100098403141106e-05 0.0078125
20 86 61 105	0.00011877549734209524 0.0234375
20 86 108	0.001541623843782117 0.01171875
20 92 15 100	3.824798719967362e-05 0.0625
20 92 18 85	0.00013336815987852264 0.1640625
20 92 18 108	0.006697578567748583 0.00390625
20 92 27 85	0.00024180082800445699 0.1640625
20 92 83 85	0.00013114050234746166 0.1640625
20 92 85	0.0001394525094479075 0.0625
20 92 85 88	0.0008557980316645272 0.00390625
20 92 92 85	0.00023948222352616807 0.16015625
20 95 15 100	7.138806991299808e-05 0.05859375
20 95 21 85	0.0003012396829118451 0.11328125
20 95 30 85	0.0002666221825132039 0.1796875
20 95 33 85	0.00030072926847605444 0.078125
20 95 77	0.0007423904974016332 0.00390625
20 95 77 50	0.23529411764705882 0.0234375
