1 66 12	0.3125 0.0004710315591144607
1 66 20 95	0.04064241232382825 0.002826189354686764
1 66 39	0.5161290322580645 0.001413094677343382
1 66 40	0.3877551020408163 0.0023551577955723034
1 66 95	0.03289473684210526 0.003297220913801225
1 66 117	0.7692307692307693 0.003297220913801225
1 121 85 39	0.7777777777777778 0.0004710315591144607
1 121 95	0.02631578947368421 0.0004710315591144607
15 80	0.0022361359570661895 0.0131888836552049
15 80 1 66	0.000782472613458529 0.0004710315591144607
15 80 14 12	0.75 0.002826189354686764
15 80 14 39	0.75 0.001413094677343382
15 80 14 40	0.07272727272727272 0.0018841262364578427
15 80 15 80	0.00047642184345187126 0.013659915214319359
15 80 18 34	0.006000292697204742 0.004239284032030146
15 80 18 95	0.000905138671438157 0.09043805934997645
15 80 18 117	0.01534090909090909 0.006123410268487989
15 80 27	0.00031165997896295144 0.0009420631182289214
15 80 27 27	8.128098837681866e-05 0.0018841262364578427
15 80 27 34	0.02021505376344086 0.005652378709373528
15 80 27 92	8.236388284624358e-05 0.002826189354686764
15 80 27 95	0.0039196398548578945 0.09514837494112105
15 80 27 98	0.05453177886423467 0.002826189354686764
15 80 27 117	0.04884318766066838 0.09561940650023551
15 80 27 121	0.0012224938875305623 0.0004710315591144607
15 80 28 95	0.011891891891891892 0.004710315591144607
15 80 30 34	0.004952947003467063 0.00659444182760245
15 80 30 95	0.0047263719888343695 0.10032972209138012
15 80 30 117	0.11075612353567625 0.017428167687235045
15 80 33 98	0.00788436268068331 0.0023551577955723034
15 80 33 117	0.019464720194647202 0.0037682524729156855
15 80 34	0.1174934725848564 0.018841262364578427
15 80 34 93	0.011915673693858845 0.0018841262364578427
15 80 34 117	0.03904152034703574 0.07159679698539802
15 80 34 118	0.0059665871121718375 0.0009420631182289214
15 80 45 95	0.012093023255813953 0.004710315591144607
15 80 52 34	0.15348837209302327 0.003297220913801225
15 80 52 95	0.01935483870967742 0.02072538860103627
15 80 52 98	0.011472275334608031 0.0023551577955723034
15 80 52 117	0.008190366420948765 0.08195949128591616
15 80 77 12	0.03078501795792714 0.0018841262364578427
15 80 77 40	0.01436265709156194 0.0018841262364578427
15 80 83 34	0.005555555555555556 0.004239284032030146
15 80 83 95	0.0008521413093759891 0.09043805934997645
15 80 83 117	0.014827487881380098 0.006123410268487989
15 80 85 12	0.03093812375249501 0.004710315591144607
15 80 85 39	0.0529028457828664 0.0131888836552049
15 80 85 40	0.04035064059339177 0.02025435704192181
15 80 85 43	0.000962133186722562 0.003297220913801225
15 80 85 57	0.0010193679918450561 0.0018841262364578427
15 80 85 121	0.05263157894736842 0.0023551577955723034
15 80 86 61	0.014634146341463415 0.002826189354686764
15 80 92	0.0003153040713638215 0.0009420631182289214
15 80 92 27	0.00010226024355468293 0.0018841262364578427
15 80 92 34	0.0231058570660935 0.005652378709373528
15 80 92 92	0.00010552216891558097 0.0018841262364578427
15 80 92 95	0.004160573550916879 0.09514837494112105
15 80 92 98	0.05430365718507573 0.002826189354686764
15 80 92 117	0.04915477176401812 0.09561940650023551
15 80 93	0.024691358024691357 0.002826189354686764
15 80 93 28	0.14015151515151514 0.0023551577955723034
15 80 93 30	0.006600660066006601 0.0009420631182289214
15 80 93 52	0.06542056074766354 0.0023551577955723034
15 80 95	0.0065384702703929895 0.1055110692416392
15 80 95 27	0.0001714155928194008 0.0037682524729156855
15 80 95 28	0.1239193083573487 0.004710315591144607
15 80 95 30	0.0002382127239624985 0.003297220913801225
15 80 95 52	0.0012567630895070933 0.004710315591144607
15 80 95 53	0.08333333333333333 0.003297220913801225
15 80 95 92	0.0001738034717243477 0.0037682524729156855
15 80 95 93	0.0032879286049788633 0.0018841262364578427
15 80 95 95	0.022026431718061675 0.0023551577955723034
15 80 95 99	0.0021287919105907396 0.0004710315591144607
15 80 95 117	0.027705250942848855 0.08195949128591616
15 80 98	0.0472972972972973 0.003297220913801225
15 80 99 34	0.06925207756232687 0.004710315591144607
15 80 99 95	0.005762795885487669 0.083843617522374
15 80 99 117	0.23391812865497075 0.011775788977861516
15 80 104 39	0.07411630558722919 0.004239284032030146
15 80 104 40	0.03660542911982451 0.0131888836552049
15 80 105 39	0.04462691895751517 0.00659444182760245
15 80 105 40	0.048641374006664954 0.007536504945831371
15 80 105 65	0.25 0.0004710315591144607
15 80 110	0.03225806451612903 0.0009420631182289214
15 80 116 12	0.05 0.003297220913801225
15 80 116 39	0.04411764705882353 0.001413094677343382
15 80 116 40	0.06971153846153846 0.0037682524729156855
15 80 116 117	0.35 0.003297220913801225
15 80 117	0.08689400164338537 0.14083843617522374
15 80 117 34	0.08571428571428572 0.0009420631182289214
15 80 117 52	0.007597851112816577 0.00706547338671691
15 80 117 93	0.010218978102189781 0.001413094677343382
15 80 117 95	0.04081632653061224 0.001413094677343382
15 80 117 99	0.003092783505154639 0.001413094677343382
15 80 117 117	0.10200927357032458 0.015073009891662742
15 80 118	0.007326007326007326 0.0009420631182289214
15 80 121	0.015503875968992248 0.001413094677343382
15 80 122 40	0.04819277108433735 0.0018841262364578427
15 100 1 66	1.7418810922291202e-05 0.0004710315591144607
15 100 1 95	0.012080536912751677 0.008478568064060292
15 100 8 39	0.009385265133740028 0.0037682524729156855
15 100 8 40	0.005122575923893158 0.002826189354686764
15 100 10 28	0.009208103130755065 0.001413094677343382
15 100 12	0.01274409044193217 0.00706547338671691
15 100 12 30	0.0008830579033682352 0.001413094677343382
15 100 12 52	0.0012642225031605564 0.0004710315591144607
15 100 12 92	0.0004985044865403788 0.0004710315591144607
15 100 12 95	0.003242853711265914 0.008949599623174752
15 100 12 99	0.0006688963210702341 0.0004710315591144607
15 100 12 117	0.03559836666317663 0.07583608101742817
15 100 12 121	0.0020242914979757085 0.0004710315591144607
15 100 16	0.0012106537530266344 0.005652378709373528
15 100 16 28	0.1596958174904943 0.002826189354686764
15 100 16 52	0.05838926174496644 0.003297220913801225
15 100 20	0.00017000056666855557 0.0009420631182289214
15 100 20 34	0.04289116456299119 0.012717852096090438
15 100 20 93	0.0592274678111588 0.0009420631182289214
15 100 20 95	0.005184849803731838 0.10692416391898257
15 100 20 110	0.059202059202059204 0.0009420631182289214
15 100 20 117	0.11787169768303457 0.0287329251059821
15 100 21 117	0.21428571428571427 0.0023551577955723034
15 100 23 40	0.011045029736618521 0.004239284032030146
15 100 35 80	0.00046044393762266516 0.013659915214319359
15 100 37 95	0.00878048780487805 0.004239284032030146
15 100 39	0.018745026924002147 0.019783325482807347
15 100 39 27	0.00013967026643500025 0.0009420631182289214
15 100 39 30	0.00034185266150289225 0.0023551577955723034
15 100 39 52	0.00036596875782498987 0.0004710315591144607
15 100 39 92	0.00017058916442900016 0.0018841262364578427
15 100 39 93	0.004424582983053847 0.0018841262364578427
15 100 39 95	0.004433819339235826 0.08101742816768724
15 100 39 98	0.014866204162537165 0.001413094677343382
15 100 39 99	0.0005052391099004899 0.0018841262364578427
15 100 39 117	0.04348299589129251 0.0814884597268017
15 100 39 118	0.00153923751217476 0.0009420631182289214
15 100 39 121	0.001812849906691549 0.0004710315591144607
15 100 40	0.012833610011492785 0.022609514837494113
15 100 40 27	0.0009109513826494959 0.0037682524729156855
15 100 40 30	0.0005560716925601676 0.0023551577955723034
15 100 40 52	0.00031655587211142766 0.0004710315591144607
