1 66	2.1449101282656257e-05 0.0007451564828614009
1 66 1 66	1.53204241170031e-06 0.0007451564828614009
1 66 8 40	0.055693069306930694 0.004470938897168405
1 66 10 28	0.0162203519510329 0.013412816691505217
1 66 10 53	0.08719052744886975 0.0067064083457526085
1 66 12	0.08842946490618485 0.16691505216095381
1 66 12 34	0.15151515151515152 0.010432190760059613
1 66 12 52	0.011616161616161616 0.004470938897168405
1 66 12 117	0.001788074321697893 0.012667660208643815
1 66 16 28	0.10344827586206896 0.00819672131147541
1 66 16 52	0.04556962025316456 0.01713859910581222
1 66 18 95	9.632890541464777e-05 0.005961251862891207
1 66 20 18	0.000559573002754821 0.0029806259314456036
1 66 20 34	0.16477272727272727 0.01564828614008942
1 66 20 95	0.003954522985664854 0.02533532041728763
1 66 20 117	0.09442583003350594 0.011177347242921014
1 66 23 40	0.06340579710144928 0.02459016393442623
1 66 30 95	0.003968253968253968 0.0029806259314456036
1 66 34	0.05511811023622047 0.005216095380029807
1 66 34 52	0.014084507042253521 0.0014903129657228018
1 66 35 80	0.0010744553176913012 0.011177347242921014
1 66 39	0.06432666759893721 0.05737704918032787
1 66 39 27	0.01636563217243788 0.00894187779433681
1 66 39 52	0.012307692307692308 0.004470938897168405
1 66 39 92	0.0213903743315508 0.00894187779433681
1 66 39 99	0.014696485623003195 0.0037257824143070045
1 66 40	0.04184244511407662 0.09239940387481371
1 66 40 27	0.005385298689762381 0.00894187779433681
1 66 40 52	0.008719916288803628 0.005216095380029807
1 66 40 92	0.006610145135795373 0.005216095380029807
1 66 40 95	0.022598870056497175 0.0014903129657228018
1 66 43 52	0.11940298507462686 0.005961251862891207
1 66 44 12	0.02457002457002457 0.007451564828614009
1 66 44 39	0.08031496062992126 0.014157973174366617
1 66 44 40	0.031556039173014146 0.021609538002980627
1 66 45 53	0.042440318302387266 0.005961251862891207
1 66 50 12	0.030303030303030304 0.0029806259314456036
1 66 50 40	0.04433497536945813 0.0067064083457526085
1 66 53	0.032640949554896145 0.010432190760059613
1 66 57	0.0024177949709864605 0.0037257824143070045
1 66 57 117	0.0012315270935960591 0.0007451564828614009
1 66 58 12	0.047619047619047616 0.0067064083457526085
1 66 58 40	0.06514084507042253 0.021609538002980627
1 66 67 61	0.035698044565711684 0.037257824143070044
1 66 73 12	0.1941747572815534 0.0037257824143070045
1 66 73 40	0.05686032138442522 0.005216095380029807
1 66 75 12	0.03278688524590164 0.0014903129657228018
1 66 75 40	0.04371584699453552 0.005961251862891207
1 66 79 28	0.0967741935483871 0.014903129657228018
1 66 83 34	0.006672226855713094 0.011177347242921014
1 66 85 12	0.09335963182117028 0.01639344262295082
1 66 85 39	0.23396819849729164 0.018628912071535022
1 66 85 40	0.11948596427269413 0.01713859910581222
1 66 88 40	0.06340579710144928 0.02459016393442623
1 66 95	0.0041109969167523125 0.005961251862891207
1 66 95 28	0.3273381294964029 0.005216095380029807
1 66 95 52	0.07848101265822785 0.005961251862891207
1 66 96 61	0.375 0.004470938897168405
1 66 109 12	0.03935185185185185 0.029061102831594635
1 66 109 39	0.01773049645390071 0.007451564828614009
1 66 109 40	0.022727272727272728 0.011922503725782414
1 66 115 12	0.028985507246376812 0.0029806259314456036
1 66 115 40	0.04186046511627907 0.0067064083457526085
1 66 121 40	0.08196721311475409 0.0037257824143070045
1 66 123 40	0.059113300492610835 0.00894187779433681
1 66 123 57	0.0234375 0.0022354694485842027
1 121 85 12	0.28125 0.0022354694485842027
1 121 85 39	0.3684210526315789 0.0014903129657228018
1 121 85 40	0.2647058823529412 0.0014903129657228018
1 121 86 28	0.5 0.0014903129657228018
1 121 95	0.07142857142857142 0.0014903129657228018
1 121 95 28	0.5 0.0014903129657228018
1 121 95 52	0.5 0.0014903129657228018
6 71 2 12	0.035523978685612786 0.005216095380029807
6 71 2 20	0.0074487895716946 0.0007451564828614009
6 71 2 39	0.0034482758620689655 0.0007451564828614009
6 71 2 40	0.004722222222222222 0.005961251862891207
6 71 4 12	0.0425531914893617 0.0007451564828614009
6 71 8 12	0.07142857142857142 0.0022354694485842027
6 71 10 28	0.03460147041661804 0.026825633383010434
6 71 10 53	0.052072800808897875 0.0067064083457526085
6 71 12	0.09147757727353939 0.15201192250372578
6 71 12 27	0.0005858230814294083 0.0007451564828614009
6 71 12 34	0.023026315789473683 0.005216095380029807
6 71 12 52	0.0039826212889210715 0.0029806259314456036
6 71 12 117	0.0015235457063711912 0.005961251862891207
6 71 14 12	0.06976744186046512 0.0022354694485842027
6 71 14 40	0.025423728813559324 0.004470938897168405
6 71 16 28	0.05642633228840126 0.005961251862891207
6 71 20	0.006154499151103565 0.0067064083457526085
6 71 20 18	0.00034584462002521134 0.007451564828614009
6 71 20 27	0.0032724035322708716 0.004470938897168405
6 71 20 34	0.011704921776864222 0.01788375558867362
6 71 20 83	0.00033156677359402845 0.0067064083457526085
6 71 20 95	0.00010268298935680478 0.02608047690014903
6 71 21	0.008915304606240713 0.0022354694485842027
6 71 21 18	1.2089336378149351e-05 0.005961251862891207
6 71 21 34	0.0028594771241830064 0.004470938897168405
6 71 21 83	1.4121667580652373e-05 0.005961251862891207
6 71 23 12	0.017006802721088437 0.0037257824143070045
6 71 23 40	0.011504424778761062 0.00894187779433681
6 71 28	0.03015075376884422 0.010432190760059613
6 71 28 27	0.0017482517482517483 0.0007451564828614009
6 71 28 52	0.0034746351633078527 0.0014903129657228018
6 71 28 117	0.0002320185614849188 0.0007451564828614009
6 71 30 34	0.00997506234413965 0.005961251862891207
6 71 33 53	0.018518518518518517 0.0022354694485842027
6 71 35 80	0.00011702137365638637 0.011177347242921014
6 71 39	0.013190730837789662 0.029061102831594635
6 71 39 52	0.0009560229445506692 0.0022354694485842027
6 71 39 117	0.00016603021749958492 0.0007451564828614009
6 71 40	0.01330870155331021 0.06855439642324888
6 71 40 27	0.0005331437711036076 0.0022354694485842027
6 71 40 52	0.0026234914923918746 0.005961251862891207
6 71 40 99	0.0021956087824351296 0.005216095380029807
6 71 40 117	7.143877696813831e-05 0.0014903129657228018
6 71 44 12	0.03526448362720403 0.010432190760059613
6 71 44 39	0.021794871794871794 0.005961251862891207
6 71 44 40	0.01050420168067227 0.005961251862891207
6 71 45 53	0.035830618892508145 0.00894187779433681
6 71 50 12	0.038461538461538464 0.0022354694485842027
6 71 50 39	0.1111111111111111 0.0014903129657228018
6 71 50 40	0.016556291390728478 0.005961251862891207
6 71 53	0.01677693761814745 0.01564828614008942
6 71 53 92	0.0011494252873563218 0.0014903129657228018
6 71 55 12	0.1111111111111111 0.0022354694485842027
6 71 58 12	0.045454545454545456 0.005216095380029807
6 71 61	0.009659090909090909 0.0029806259314456036
6 71 61 34	0.00975609756097561 0.0014903129657228018
6 71 61 83	8.728885604787624e-05 0.0007451564828614009
6 71 61 117	0.0016825574873808188 0.0022354694485842027
6 71 67 61	0.01105583195135434 0.01713859910581222
6 71 69 21	0.028169014084507043 0.0007451564828614009
6 71 69 61	0.013824884792626729 0.0014903129657228018
6 71 73 12	0.07142857142857142 0.0022354694485842027
6 71 75 12	0.029201817001946788 0.02384500745156483
6 71 75 39	0.01614142966948501 0.011177347242921014
6 71 75 40	0.013225326500247974 0.020864381520119227
6 71 75 53	0.011344299489506523 0.009687034277198211
6 71 79 28	0.059602649006622516 0.0037257824143070045
6 71 79 53	0.05319148936170213 0.0007451564828614009
6 71 88 40	0.011443661971830986 0.00894187779433681
6 71 96 61	0.029850746268656716 0.0007451564828614009
6 71 98 12	0.09836065573770492 0.0037257824143070045
6 71 109 12	0.049234863606121095 0.01788375558867362
6 71 109 40	0.01260239445494644 0.004470938897168405
6 71 109 53	0.06930693069306931 0.0037257824143070045
6 71 110 12	0.0743801652892562 0.004470938897168405
6 71 115 12	0.02027027027027027 0.0014903129657228018
6 71 115 40	0.011560693641618497 0.005216095380029807
6 71 120 61	0.0425531914893617 0.0022354694485842027
6 71 123 12	0.009523809523809525 0.0014903129657228018
6 71 123 40	0.013736263736263736 0.0014903129657228018
6 87 12	0.16666666666666666 0.0014903129657228018
6 87 98 12	1.0 0.0007451564828614009
6 102 20	0.006896551724137931 0.0014903129657228018
6 102 20 95	0.0003682035756658348 0.0029806259314456036
