2 1 66	5.1668905652578275e-05 0.0010438413361169101
2 1 66 18	0.03435500168406871 0.09081419624217119
2 1 66 20	0.575063030025212 0.08350730688935282
2 1 66 27	0.12704918032786885 0.029227557411273485
2 1 66 83	0.034482758620689655 0.09081419624217119
2 6 71 12	0.002746174970576697 0.007306889352818371
2 6 71 20	0.14587155963302753 0.12421711899791232
2 6 71 21	0.2976235382874387 0.07724425887265135
2 6 71 61	0.03261486103233125 0.018789144050104383
2 8 20	0.717948717948718 0.028183716075156576
2 8 20 18	0.010602205258693808 0.026096033402922755
2 8 35 80	0.002274450341167551 0.006263048016701462
2 8 40 99	0.24324324324324326 0.009394572025052192
2 8 67 21	0.5921052631578947 0.028183716075156576
2 10 75 20	0.20612244897959184 0.027139874739039668
2 12 18 18	0.0024810432722137963 0.0041753653444676405
2 12 18 83	0.0024444556207008057 0.0041753653444676405
2 12 83 18	0.006441549593209343 0.006263048016701462
2 12 83 83	0.006251204216208173 0.006263048016701462
2 12 105 20	0.19037743674823723 0.05845511482254697
2 12 126 21	0.4293193717277487 0.03653444676409186
2 16 30	0.6341463414634146 0.025052192066805846
2 16 52 99	0.15384615384615385 0.014613778705636743
2 16 81 20	0.5246410554908809 0.162839248434238
2 16 108 20	0.35323383084577115 0.07724425887265135
2 20	0.6227709190672154 0.2881002087682672
2 20 1 66	0.011532547411583802 0.031315240083507306
2 20 15 80	0.005194005732643364 0.13883089770354906
2 20 18	0.014399775878974647 0.24425887265135698
2 20 18 18	0.02324346952725885 0.44258872651356995
2 20 18 27	0.024789099170054587 0.4091858037578288
2 20 18 83	0.02203268798067117 0.44258872651356995
2 20 18 92	0.023402417962003454 0.4091858037578288
2 20 19 84	0.041563500709781785 0.3037578288100209
2 20 27	0.06373626373626373 0.15031315240083507
2 20 27 18	0.03230862287861938 0.4091858037578288
2 20 27 27	0.17657030283593714 0.3569937369519833
2 20 27 83	0.03233689268805643 0.4091858037578288
2 20 27 92	0.16322567025543594 0.3569937369519833
2 20 33 98	0.1251840942562592 0.03653444676409186
2 20 34 30	0.1132420091324201 0.12943632567849686
2 20 34 52	0.02122347066167291 0.024008350730688934
2 20 34 99	0.28916827852998067 0.2755741127348643
2 20 45 110	0.03111641978088683 0.4509394572025052
2 20 51 116	0.0625 0.0020876826722338203
2 20 56 66	0.004296455424274973 0.0020876826722338203
2 20 66 20	0.8812260536398467 0.1315240083507307
2 20 77 12	0.5480369515011547 0.2766179540709812
2 20 77 20	0.49050470487596237 0.2630480167014614
2 20 83	0.01421420867785736 0.24425887265135698
2 20 83 18	0.02060323695364316 0.44258872651356995
2 20 83 27	0.029559076007151318 0.4091858037578288
2 20 83 83	0.020341684645685074 0.44258872651356995
2 20 83 92	0.029873431342219592 0.4091858037578288
2 20 85 12	0.127985723437357 0.2620041753653445
2 20 85 20	0.7301102409768515 0.4123173277661795
2 20 85 39	0.006613379624831588 0.255741127348643
2 20 85 40	0.013286344276506728 0.19832985386221294
2 20 86 21	0.6987654603625209 0.42275574112734865
2 20 86 30	0.6842948717948718 0.2567849686847599
2 20 86 61	0.17503849329435656 0.3444676409185804
2 20 92	0.05896916497861805 0.151356993736952
2 20 92 18	0.03988129944868714 0.4091858037578288
2 20 92 27	0.1612537488113525 0.3653444676409186
2 20 92 83	0.039474394194969634 0.4091858037578288
2 20 92 92	0.14003147578510622 0.3569937369519833
2 20 95 21	0.7952926602663364 0.2609603340292276
2 20 95 30	0.5379093625804862 0.35908141962421714
2 20 95 52	0.023375707770605214 0.15762004175365343
2 20 95 99	0.06175771971496437 0.1419624217118998
2 20 104 20	0.42130228546787407 0.2578288100208768
2 20 104 39	0.7972941450898063 0.27035490605427975
2 20 105 12	0.025735294117647058 0.006263048016701462
2 20 105 20	0.7690798081116441 0.19102296450939457
2 20 105 40	0.8239523058039628 0.278705636743215
2 20 108 20	0.2 0.005219206680584551
2 20 110 52	0.06666666666666667 0.0010438413361169101
2 20 117 30	0.6306666666666667 0.14822546972860126
2 20 117 52	0.7357357357357357 0.16597077244258873
2 20 117 99	0.11678832116788321 0.022964509394572025
2 20 122 57	0.8729874776386404 0.2254697286012526
2 20 126 21	0.6376115883442817 0.36012526096033404
2 20 126 61	0.6205651401387058 0.29123173277661796
2 23 20	0.7704918032786885 0.0407098121085595
2 23 67 21	0.6681818181818182 0.04175365344467641
2 24 89 20	0.14402003757044457 0.04384133611691023
2 35 80	0.002076238709239262 0.13674321503131523
2 35 80 18	0.04056375905774546 0.2651356993736952
2 35 80 27	0.0025154226477661435 0.24112734864300625
2 35 80 28	0.027624309392265192 0.003131524008350731
2 35 80 30	0.06707442645907986 0.15866388308977036
2 35 80 45	0.0004685816034862471 0.003131524008350731
2 35 80 52	0.0011719630380887986 0.022964509394572025
2 35 80 83	0.039808682855040474 0.2651356993736952
2 35 80 92	0.0021895508176485944 0.23695198329853862
2 35 80 99	0.07454289732770746 0.10751565762004175
2 35 100 12	0.007875775009774898 0.11482254697286012
2 35 100 20	0.1823023774674813 0.31106471816283926
2 35 100 37	0.00023822488429077048 0.005219206680584551
2 35 100 39	0.0009214537468612982 0.1524008350730689
2 35 100 40	0.00021795108404299262 0.0824634655532359
2 35 103 21	0.31414356787491116 0.11377870563674322
2 35 103 30	0.4409937888198758 0.09707724425887265
2 36 101 20	0.1448993535502181 0.162839248434238
2 39 15 80	0.006102296682569622 0.0511482254697286
2 39 30	0.16065573770491803 0.04384133611691023
2 39 52	0.058823529411764705 0.013569937369519834
2 39 77 20	0.2873629544143104 0.09290187891440502
2 39 93 30	0.42567567567567566 0.03966597077244259
2 39 99	0.16578947368421051 0.059498956158663886
2 39 104 20	0.2875406476903203 0.11377870563674322
2 39 105 20	0.3460070955217886 0.09394572025052192
2 39 118 30	0.4017467248908297 0.037578288100208766
