70	1.0 1.0
70 5 70	0.6417322834645669 1.0
70 13 78	0.1100244498777506 0.8260869565217391
70 13 78 64	0.002881844380403458 0.043478260869565216
70 64 129	0.1072961373390558 0.43478260869565216
70 64 129 64	0.005161290322580645 0.043478260869565216
70 101 8 36	0.16666666666666666 0.34782608695652173
70 101 23 36	0.2857142857142857 0.34782608695652173
70 101 36	0.9438596491228071 0.34782608695652173
70 101 44 36	0.1 0.34782608695652173
70 101 73 36	0.16666666666666666 0.34782608695652173
70 101 88 36	0.2857142857142857 0.34782608695652173
70 101 109 36	0.14285714285714285 0.34782608695652173
70 127 62	1.0 0.34782608695652173
70 129 13 78	0.023809523809523808 0.043478260869565216
70 129 64	0.23076923076923078 0.08695652173913043
70 129 64 129	0.020618556701030927 0.043478260869565216
