1 66 12 126	0.0036319612590799033 0.0136986301369863
1 66 20 86	0.005537098560354375 0.0136986301369863
1 66 35 103	0.04 0.0136986301369863
1 66 39 126	0.004419191919191919 0.0136986301369863
1 66 40 126	0.004329004329004329 0.0136986301369863
1 66 96	0.625 0.0684931506849315
1 66 109 96	0.5 0.0273972602739726
6 71	0.0038461538461538464 0.1506849315068493
6 71 6 71	0.0022887190487652755 0.2465753424657534
6 71 12 126	0.000949667616334283 0.0136986301369863
6 71 20 86	1.969822322026553e-05 0.0136986301369863
6 71 31 96	0.1306715063520871 0.2054794520547945
6 71 31 120	0.3333333333333333 0.0136986301369863
6 71 35 103	0.009094283593170008 0.2054794520547945
6 71 38 103	0.022065569021293033 0.2054794520547945
6 71 39 126	0.0010277492291880781 0.0273972602739726
6 71 40 126	0.0004598758335249483 0.0273972602739726
6 71 44 96	0.13333333333333333 0.0273972602739726
6 71 44 120	0.045454545454545456 0.0136986301369863
6 71 55 96	0.3333333333333333 0.0410958904109589
6 71 55 120	0.06896551724137931 0.0273972602739726
6 71 61 126	0.004962779156327543 0.0547945205479452
6 71 75 96	1.0 0.0136986301369863
6 71 96	0.6416666666666667 0.3287671232876712
6 71 109 96	0.22641509433962265 0.0410958904109589
6 71 109 120	0.09876543209876543 0.0136986301369863
6 71 120	0.1590909090909091 0.0273972602739726
6 87 6 71	0.015 0.0821917808219178
6 102 6 71	0.0027287611424413314 0.0821917808219178
6 102 37 71	0.002597215208137941 0.1643835616438356
6 111 46 71	0.016666666666666666 0.136986301369863
10 6 71 96	1.0 0.0136986301369863
10 75 44 96	1.0 0.0136986301369863
10 75 96	1.0 0.0136986301369863
12 77 96	1.0 0.0547945205479452
12 77 120	0.25 0.0136986301369863
12 105 96	0.5 0.0136986301369863
12 105 120	0.25 0.0136986301369863
16 81 6 71	0.002337886058816291 0.136986301369863
16 81 20 86	0.004920049200492005 0.0136986301369863
16 81 35 103	0.019729467154921156 0.1506849315068493
16 81 39 126	0.0029411764705882353 0.0273972602739726
16 81 40 126	0.0019455252918287938 0.0136986301369863
16 81 96	0.6666666666666666 0.2602739726027397
16 81 120	1.0 0.0136986301369863
16 108 20 86	0.005761316872427984 0.0136986301369863
16 108 35 103	0.02152317880794702 0.1506849315068493
16 108 39 126	0.0017035775127768314 0.0136986301369863
20 15 80 126	0.2222222222222222 0.0136986301369863
20 15 100 96	0.2916666666666667 0.0958904109589041
20 15 103	0.02880658436213992 0.0958904109589041
20 18 18 86	0.001351691685245272 0.0273972602739726
20 18 83 86	0.0013509893003893264 0.0273972602739726
20 27 15 103	0.02181818181818182 0.0821917808219178
20 27 27 86	0.01818181818181818 0.0136986301369863
20 30 117 86	0.047619047619047616 0.0136986301369863
20 34 30 86	0.038461538461538464 0.0136986301369863
20 34 104 96	1.0 0.0136986301369863
20 34 105 96	1.0 0.0136986301369863
20 34 126	1.0 0.0136986301369863
20 45 110 86	0.001367801942278758 0.0273972602739726
20 52 117 86	0.047619047619047616 0.0136986301369863
20 77 12 86	0.04225352112676056 0.0136986301369863
20 77 20 86	0.047619047619047616 0.0136986301369863
20 83 15 103	0.029850746268656716 0.0136986301369863
20 83 18 86	0.0015633942899288733 0.0273972602739726
20 83 83 86	0.0015632168718858204 0.0273972602739726
20 85 6 71	0.00021869077124945328 0.0136986301369863
20 85 12 86	0.04225352112676056 0.0136986301369863
20 85 12 126	0.04411764705882353 0.0136986301369863
20 85 20 86	0.03950852663912721 0.0273972602739726
20 85 35 103	0.10386965376782077 0.1095890410958904
20 85 39 126	0.24347826086956523 0.0136986301369863
20 85 40 86	0.04487179487179487 0.0273972602739726
20 85 40 126	0.26256983240223464 0.0136986301369863
20 85 96	1.0 0.1095890410958904
20 86	0.0425531914893617 0.0273972602739726
20 86 6 71	0.0002622263012980202 0.0273972602739726
20 86 21 86	0.008622271142909558 0.0273972602739726
20 86 31 96	1.0 0.0273972602739726
20 86 38 103	0.2 0.0273972602739726
20 86 53 126	0.6 0.0136986301369863
20 86 61 86	0.04411764705882353 0.0273972602739726
20 86 61 126	0.011494252873563218 0.0136986301369863
20 92 15 103	0.024822695035460994 0.0958904109589041
20 92 27 86	0.016666666666666666 0.0273972602739726
20 92 92 86	0.01818181818181818 0.0136986301369863
20 95 15 103	0.7 0.0136986301369863
20 95 27 126	0.6666666666666666 0.0136986301369863
20 95 30 86	0.03650680028632784 0.0273972602739726
20 95 99 86	0.038461538461538464 0.0136986301369863
20 95 126	1.0 0.0136986301369863
20 104 20 86	0.04411764705882353 0.0273972602739726
20 104 40 126	0.014705882352941176 0.0136986301369863
20 105 20 86	0.046052631578947366 0.0273972602739726
20 105 40 86	0.046052631578947366 0.0273972602739726
20 126 21 86	0.03409090909090909 0.0273972602739726
20 126 61 86	0.043209876543209874 0.0273972602739726
24 89 12 126	0.0015923566878980893 0.0136986301369863
24 89 39 126	0.0002556237218813906 0.0136986301369863
24 89 40 126	0.001152073732718894 0.0136986301369863
24 89 50 96	0.5 0.0136986301369863
24 89 96	0.6 0.0410958904109589
24 89 120	0.05555555555555555 0.0136986301369863
